display  D   display_settings.c:529  _al_score_display_settings       [   0.09412] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09417] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09423] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09427] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09432] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09437] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09442] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09447] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09453] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09458] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09462] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09468] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09474] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09479] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09485] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09490] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09496] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09501] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09507] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09511] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09517] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09533] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09540] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09546] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09552] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09558] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09564] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09570] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09577] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09582] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09587] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09593] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09598] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09604] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09610] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09616] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09623] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09629] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09644] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09651] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09658] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09664] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09671] Score is : 589
